,id,atm_group,address,address_rus,lat,long,target,city,city_area,city_district,federal_district,fast_food,cafe,bar,pub,restaurant,college,kindergarten,library,training,school,traffic_park,university,bicycle_parking,bus_station,car_sharing,fuel,parking,taxi,atm,payment_terminal,bank,bureau_de_change,money_transfer,payment_centre,clinic,hospital,pharmacy,social_facility,cinema,community_centre,conference_centre,events_venue,exhibition_centre,nightclub,social_centre,theatre,police,post_box,post_office,toilets,internet_cafe,marketplace,"apartments, detached",detached,hotel,residential,commercial,industrial,kiosk,office,retail,supermarket,warehouse,religious,church,government,station,tram,platform,administrative,population
0,8532.0,32.0,"KOMSOMOLSKAYA,259B     Y.SAKHALINSK   ","Комсомольская улица, 259, Южно-Сахалинск, Сахалинская область, Россия",46.937353,142.753348,0.0297102650350859,Южно-Сахалинск,городской округ Южно-Сахалинск,XIV микрорайон,Сахалинская область,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,4680
1,8533.0,32.0,"KOMMUN. PR., 32        YUZHNO SAKHAL  ","Коммунистический проспект, Южно-Сахалинск, Сахалинская область, Россия",46.959413,142.741113,0.0095399608832554,Южно-Сахалинск,городской округ Южно-Сахалинск,Центр,Сахалинская область,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,312
2,8684.0,32.0,"LENINGRADSKIY PR.,76A  MOSCOW         ","Ленинградский проспект, 76А, Москва, Россия, 125315",55.805827,37.515146,-0.0940346244764994,Москва,,,Москва,6,1,0,0,1,0,1,0,0,0,0,0,4,0,0,0,3,0,3,2,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,4,3,6990
3,37.0,32.0,"GVARDEYSKAYA PL., 2    NORILSK        ","Гвардейская площадь, 2, Норильск, Красноярский край, Россия, 663302",69.343541,88.211228,0.0792773520096629,Норильск,городской округ Норильск,,Красноярский край,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,4,2,3420
4,313.0,32.0,"RUSSKAYA, 16           VLADIVOSTOK    ","Русская улица, 16, Владивосток, Приморский край, Россия, 690039",43.16586,131.908212,-0.1450012314747548,Владивосток,Владивостокский городской округ,,Приморский край,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1260
5,335.0,32.0,"SHUKHOVA, 14           MOSCOW         ","улица Шухова, 14, Москва, Россия, 115162",55.716859,37.613063,-0.0246822352357643,Москва,,,Москва,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,1,0,0,0,4,3630
6,358.0,32.0,"ADMIRALA FOKINA, 25    VLADIVOSTOK    ","улица Адмирала Фокина, 25, Владивосток, Приморский край, Россия, 690091",43.117174,131.885503,-0.1334258834962322,Владивосток,Владивостокский городской округ,,Приморский край,0,8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,26,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2730
7,2895.0,32.0,Zhivopisnaia 136       d.Velednikov   ,"деревня Веледниково, городской округ Истра, Московская область, Россия",55.799765,37.116016,0.1414693533331615,,городской округ Истра,,Московская область,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1975.0,496.5,BEKESHSKAYA 39            PENZA       ,"Бекешская улица, 39, Пенза, Россия, 440018",53.20322,44.978826,0.0172589332663376,городской округ Пенза,,,Пензенская область,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,381
9,1977.0,496.5,B.MOSKOVSKAYA 90A         VLADIMIR    ,"Большая Московская улица, 90А, Владимир, Россия, 600000",56.132925,40.419184,-0.0139490047116537,Владимир,городской округ Владимир,,Владимирская область,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,1089
